synthetic_caller_id,age,age_band,sex,household_size,region,urbanicity,language,accent_class,employment_status,income_band,customer_tenure_years,primary_intent,secondary_intent,compound_intent,intent_ambiguity,intent_change_midcall,speech_rate,articulation,background_noise,pause_pattern,interruption_frequency,input_mode,emotion,caller_behavior,asks_for_agent,refuses_information,out_of_vocabulary_request,contradictory_information,invalid_input_event,authentication_required,authentication_method,authentication_outcome,authentication_retries,accessibility_interaction_constraint,eligibility_state,regulatory_constraint,expected_route,expected_disposition,hangup_risk,triad_test_class,parallel_valid_path_exists,equivalent_route_exists,hidden_assumption_target,failure_recovery_expected,oracle_outcome
IVR-SYN-00001,48,45-54,Male,1,South,Urban,English,General US,Full-time,25-49k,0.2,Account information,None,No,High,No,Fast,Clear,None,Normal,None,Keypad,Calm,Cooperative,No,No,No,No,No,Yes,Voice/biometric,Successful,1,None,Ineligible,None,Self-service,Self-service completion,High,GRAY,No,No,Eligibility,Alternative input,Correct route + compliant disposition
IVR-SYN-00002,49,45-54,Female,6,Northeast,Urban,English,General US,Part-time,100-149k,5.5,Cancellation,None,No,Low,No,Normal,Clear,None,Normal,None,Speech,Calm,Cooperative,No,No,Yes,No,No,Yes,One-time code,Successful,1,Slow-prompt preference,Eligible,None,Retention,Correct specialist/agent routing,Low,GREEN,No,No,None,Alternative input,Correct route + compliant disposition
IVR-SYN-00003,35,35-44,Male,3,South,Suburban,English,Western US,Retired,50-74k,2.0,Account information,None,No,Low,No,Normal,Clear,None,Short,None,Keypad,Confused,Cooperative,Yes,No,No,No,No,Yes,Account number + PIN,Successful,0,None,Eligible,None,Self-service,Self-service completion,Low,GREEN,No,No,Language,Agent escalation,Correct route + compliant disposition
IVR-SYN-00004,55,55-64,Male,6,West,Suburban,English,Northeastern US,Full-time,25-49k,1.5,Other,None,No,High,No,Slow,Clear,Low,Normal,None,Keypad,Confused,Cooperative,No,No,No,No,No,No,None required,Not applicable,0,None,Conditional,None,Self-service,Self-service completion,Moderate,GRAY,No,No,Identity,Terminate safely,Correct route + compliant disposition
IVR-SYN-00005,43,35-44,Male,1,South,Urban,English,Western US,Retired,75-99k,4.4,Eligibility inquiry,None,No,High,No,Normal,Clear,Moderate,Short,None,Keypad,Calm,Argumentative,No,No,No,No,No,Yes,Account number + PIN,Successful,1,None,Eligible,None,Specialist,Correct specialist/agent routing,Moderate,GRAY,No,No,Identity,Retry,Correct route + compliant disposition
IVR-SYN-00006,36,35-44,Female,5,West,Urban,English,Midwestern US,Retired,50-74k,4.7,Address/contact change,Eligibility inquiry,Yes,Moderate,No,Normal,Clear,Low,Long,Occasional,Speech,Confused,Cooperative,Yes,No,No,No,No,Yes,Account number + PIN,Successful,1,None,Ineligible,Authentication required,Self-service,Self-service completion,Moderate,GRAY,No,No,Language,Alternative input,Correct route + compliant disposition
IVR-SYN-00007,60,55-64,Female,5,South,Suburban,English,General US,Full-time,<25k,9.3,Order/status inquiry,None,No,Low,No,Normal,Clear,None,Normal,Occasional,Keypad,Calm,Verbose,Yes,No,No,No,No,No,None required,Not applicable,0,None,Eligible,None,Self-service,Self-service completion,Low,GREEN,No,No,None,Re-prompt,Correct route + compliant disposition
IVR-SYN-00008,28,25-34,Male,4,South,Urban,English,Western US,Full-time,50-74k,0.7,Technical support,None,No,Moderate,No,Normal,Clear,Low,Normal,Occasional,Speech,Calm,Cooperative,No,No,Yes,No,No,Yes,Account number + PIN,Successful,1,None,Eligible,None,Technical support,Correct specialist/agent routing,Low,GREEN,No,No,Routing,Agent escalation,Correct route + compliant disposition
IVR-SYN-00009,71,65-74,Female,5,Midwest,Urban,Other,Northeastern US,Student,50-74k,11.1,Address/contact change,None,No,Moderate,No,Normal,Clear,None,Normal,None,Keypad,Calm,Cooperative,Yes,No,Yes,No,No,Yes,One-time code,Successful,0,Slow-prompt preference,Conditional,None,Self-service,Self-service completion,Low,GREEN,No,No,Eligibility,Agent escalation,Correct route + compliant disposition
IVR-SYN-00010,19,18-24,Male,4,West,Urban,Chinese,General US,Full-time,100-149k,6.3,Refund/dispute,None,No,Moderate,No,Slow,Clear,None,Normal,None,Speech,Calm,Cooperative,No,No,No,No,Yes,Yes,Knowledge-based,Successful,0,None,Ineligible,None,Disputes,Correct specialist/agent routing,Low,GREEN,No,No,None,Retry,Correct route + compliant disposition
